color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,6.1234351186844895,3.2600870589571187,1.47624987308872,Inf,1.3420960891157254,7.919080994403551,Lano
W,6.1234351186844895,2.7267652309611896,1.2386501004305865,Inf,1.1193970076839117,6.642190906122511,Lano
R,6.31479246614338,3.204679022279919,1.5010174445002442,Inf,1.2796645332672436,8.02551556978739,Lano
W,6.31479246614338,2.6804214661491113,1.2591727803649004,Inf,1.0674239346017858,6.730839550523351,Lano
R,6.50614981360227,3.1502126937451393,1.52531987993372,Inf,1.2195275936615588,8.13744606305895,Lano
W,6.50614981360227,2.6348653542352602,1.2793179822676664,Inf,1.0173507919035085,6.824111693037119,Lano
R,6.697507161061161,3.0966720681975963,1.549077314219225,Inf,1.1616911609597484,8.254670621779347,Lano
W,6.697507161061161,2.5900835083683424,1.299018236090638,Inf,0.9691838516533056,6.921836934114977,Lano
R,6.888864508520051,3.044041412503744,1.5722236419646576,Inf,1.106143826695121,8.377019242355514,Lano
W,6.888864508520051,2.5460627692183286,1.3182175844544948,Inf,0.9229148877391586,7.023871551882279,Lano
R,7.080221855978941,2.992305260928431,1.594704653191659,Inf,1.0528601153970727,8.504349859623206,Lano
W,7.080221855978941,2.5027902011095398,1.3368700357769367,Inf,0.8785238582943741,7.130095251973243,Lano
R,7.271579203437831,2.9414484105902257,1.6164764076469769,Inf,1.0018032449866432,8.636544945788355,Lano
W,7.271579203437831,2.460253088219439,1.3549382128567418,Inf,0.8359812012580078,7.240408335719508,Lano
R,7.462936550896721,2.8914559169939937,1.6375038225347838,Inf,0.9529274703456134,8.773508561871276,Lano
W,7.462936550896721,2.4184389308420395,1.3723921768541738,Inf,0.7952497869633458,7.35472924116856,Lano
R,0,8.646913716249282,1.9022409151420523,Inf,5.618296709635863,13.308146700053149,Laci
W,0,6.950221947719437,1.5363683405630897,Inf,4.506484743295384,10.71912762922999,Laci
R,0.1913573474588903,8.510252148702445,1.8098246733245809,Inf,5.609478165167814,12.911074702851245,Laci
W,0.1913573474588903,6.840376023804544,1.462227435365113,Inf,4.499078473391211,10.400072909102034,Laci
R,0.3827146949177806,8.37575047133807,1.7227403814196496,Inf,5.596892539552633,12.534311756453224,Laci
W,0.3827146949177806,6.73226617782953,1.3923711265939418,Inf,4.488645324517486,10.097346663053521,Laci
R,0.5740720423766709,8.243374547817147,1.6410958432317582,Inf,5.580168718305109,12.17762891517719,Laci
W,0.5740720423766709,6.625864971665553,1.3268837844275654,Inf,4.4748913313719,9.810760389858492,Laci
