rec_key,site,id_445,id_30
GRTE01_20220815_010912,GRTE01,Lano,Lano
GRTE01_20220815_015702,GRTE01,Laci,Laci
GRTE01_20220815_020101,GRTE01,Laci,Laci
GRTE01_20220815_030337,GRTE01,Laci,Laci
GRTE01_20220815_034810,GRTE01,Myvo,Myvo
GRTE01_20220815_035017,GRTE01,Laci,Laci
GRTE01_20220815_041924,GRTE01,Laci,Laci
GRTE01_20220815_045729,GRTE01,Laci,Laci
GRTE01_20220815_052003,GRTE01,Myvo,Myvo
GRTE05_20220623_215201,GRTE05,Epfu,Epfu
GRTE05_20220623_221250,GRTE05,Epfu,Epfu
GRTE05_20220624_214209,GRTE05,Epfu,Epfu
GRTE05_20220629_213930,GRTE05,Epfu,Epfu
GRTE05_20220629_214903,GRTE05,Epfu,NoID
GRTE05_20220629_215706,GRTE05,Epfu,Epfu
GRTE05_20220629_220115,GRTE05,Epfu,Anpa
GRTE05_20220629_220422,GRTE05,Epfu,Epfu
GRTE05_20220629_221759,GRTE05,Epfu,Epfu
GRTE05_20220629_222341,GRTE05,Epfu,Epfu
GRTE05_20220629_222720,GRTE05,Epfu,NoID
GRTE05_20220629_222803,GRTE05,Epfu,NoID
GRTE05_20220629_230229,GRTE05,Mylu,Mylu
GRTE05_20220629_230254,GRTE05,Mylu,Mylu
GRTE05_20220629_234407,GRTE05,Mylu,Mylu
GRTE05_20220630_000940,GRTE05,Mylu,Mylu
GRTE05_20220717_232301,GRTE05,Mylu,Mylu
GRTE05_20220718_213631,GRTE05,Epfu,Epfu
GRTE05_20220718_230904,GRTE05,Mylu,Mylu
GRTE05_20220718_231052,GRTE05,Mylu,Mylu
GRTE05_20220718_231446,GRTE05,Mylu,Mylu
GRTE05_20220718_231626,GRTE05,Mylu,Mylu
GRTE05_20220718_231646,GRTE05,Mylu,Mylu
GRTE05_20220718_231841,GRTE05,Mylu,Mylu
GRTE05_20220718_232422,GRTE05,Mylu,Mylu
GRTE05_20220718_232608,GRTE05,Mylu,Mylu
GRTE05_20220718_232800,GRTE05,Mylu,Mylu
GRTE05_20220718_233535,GRTE05,Mylu,Mylu
GRTE05_20220718_234129,GRTE05,Mylu,Mylu
GRTE05_20220718_235041,GRTE05,Mylu,Mylu
GRTE05_20220718_235052,GRTE05,Mylu,Mylu
GRTE05_20220718_235145,GRTE05,Mylu,Mylu
GRTE05_20220718_235226,GRTE05,Mylu,Mylu
GRTE05_20220718_235243,GRTE05,Mylu,Mylu
GRTE05_20220718_235256,GRTE05,Mylu,Mylu
GRTE05_20220718_235412,GRTE05,Mylu,Mylu
GRTE05_20220719_000050,GRTE05,Mylu,Mylu
GRTE05_20220719_000952,GRTE05,Mylu,Mylu
GRTE05_20220719_001318,GRTE05,Mylu,Mylu
GRTE05_20220719_001524,GRTE05,Mylu,Mylu
GRTE05_20220719_002120,GRTE05,Mylu,Mylu
